2500081197745791;doge_rur;sell;20,67159130;0,43433909;1535850097875;1535850354571;1;20,67159130;
2500081197780976;doge_rur;sell;20,67159130;0,43868248;1535852101638;0;0;0,00000000;
1500081197806939;doge_rur;buy;82,68636520;0,42427644;1535853683085;1535853762913;1;82,68636520;

2500081197809358;doge_rur;sell;20,37066503;0,42554618;1535853808135;1535853852922;1;20,37066503;
2500081197812018;doge_rur;sell;20,37066503;0,43024350;1535853974428;1535854148390;1;20,37066503;
2500081197816066;doge_rur;sell;20,37066503;0,43454594;1535854193624;1535854248448;1;20,37066503;
2500081197819524;doge_rur;sell;20,37066503;0,43895959;1535854393703;1535855176008;1;20,37066503;
2500081197832683;doge_rur;sell;20,37066503;0,44334919;1535855231299;0;0;0,00000000;
1500081197938161;doge_rur;buy;81,48266012;0,43010744;1535861800928;1535862181628;1;81,48266012;

2500081197943201;doge_rur;sell;20,26456493;0,43204288;1535862221389;1535862236165;1;20,26456493;
2500081197948331;doge_rur;sell;20,26456493;0,43645899;1535862643272;1535863206532;2;0,20442422;
1500081197965605;doge_rur;buy;20,46898915;0,43025386;1535864062561;1535864366627;1;20,46898915;
2500081197969537;doge_rur;sell;20,06014071;0,43636331;1535864351839;0;0;0,00000000;

2500081197969770;doge_rur;sell;20,27031923;0,43414491;1535864371858;1535864417625;1;20,27031923;
1500081197970405;doge_rur;buy;20,27031923;0,43241007;1535864422007;1535864487489;1;20,27031923;
2500081197971042;doge_rur;sell;20,27031923;0,43848636;1535864472694;0;0;0,00000000;

2500081197971360;doge_rur;sell;20,26626538;0,43414490;1535864492655;1535864547447;1;20,26626538;
2500081197972896;doge_rur;sell;20,26626538;0,43848635;1535864602864;0;0;0,00000000;
1500081197975656;doge_rur;buy;20,26626538;0,43144800;1535864811168;1535864913898;1;20,26626538;

2500081197977106;doge_rur;sell;20,25161825;0,43414490;1535864919117;1535864958990;1;20,25161825;
1500081197977706;doge_rur;buy;20,25161825;0,43241006;1535864964671;1535865046031;1;20,25161825;
2500081197978480;doge_rur;sell;20,25161825;0,43848635;1535865027878;0;0;0,00000000;

2500081197982855;doge_rur;sell;20,51248649;0,41811747;1535865366451;1535865396246;1;20,51248649;
1500081197983731;doge_rur;buy;20,51248649;0,41584061;1535865436817;1535865501278;1;20,51248649;
2500081197983953;doge_rur;sell;20,51248649;0,42229864;1535865451775;0;0;0,00000000;

2500081197984703;doge_rur;sell;20,51951333;0,41699999;1535865506844;1535865546500;1;20,51951333;
1500081197985875;doge_rur;buy;20,51951333;0,41530001;1535865586692;1535865791715;1;20,51951333;
2500081197988064;doge_rur;sell;20,51951333;0,42116999;1535865776879;0;0;0,00000000;

2500081197988351;doge_rur;sell;20,49780470;0,41541353;1535865796901;1535865826666;1;20,49780470;
2500081197989972;doge_rur;sell;20,49780470;0,41980065;1535865911971;1535866153016;1;20,49780470;
1500081197993099;doge_rur;buy;40,99560940;0,41593833;1535866168425;1535866208111;1;40,99560940;
2500081197993336;doge_rur;sell;20,49780470;0,42399866;1535866193273;0;0;0,00000000;

2500081197995078;doge_rur;sell;20,48285158;0,41899354;1535866339890;1535866384688;1;20,48285158;
1500081197995689;doge_rur;buy;20,48285158;0,41731924;1535866389875;1535866419698;1;20,48285158;

2500081197996174;doge_rur;sell;20,47875482;0,41899354;1535866424920;1535866449722;1;20,47875482;
1500081197996578;doge_rur;buy;20,47875482;0,41731924;1535866455016;1535866484704;1;20,47875482;

