2500081198425509;doge_rur;sell;19,58714570;0,32189022;1535894851484;1535894927635;2;1,56211061;
2500081198426908;doge_rur;sell;18,02503509;0,32078203;1535894932854;1535895016421;1;18,02503509;
1500081198427000;doge_rur;buy;1,56211061;0,32060395;1535894937842;1535895021430;1;1,56211061;
2500081198429853;doge_rur;sell;19,58714570;0,32429358;1535895121835;0;0;0,00000000;
1500081198436702;doge_rur;buy;18,02503509;0,31911392;1535895570625;1535895689721;1;18,02503509;

2500081198438728;doge_rur;sell;19,50801634;0,31602386;1535895694912;1535895774755;1;19,50801634;
1500081198440676;doge_rur;buy;19,50801634;0,31390017;1535895814972;1535895879827;1;19,50801634;
2500081198441483;doge_rur;sell;19,50801634;0,31918410;1535895865001;0;0;0,00000000;

2500081198441808;doge_rur;sell;19,63650919;0,31390015;1535895885066;1535895949857;1;19,63650919;
1500081198443433;doge_rur;buy;19,63650919;0,31259334;1535895990112;0;0;0,00000000

2500081198449337;doge_rur;sell;19,64624044;0,31299999;1535896328561;1535896343268;1;19,64624044;
1500081198449717;doge_rur;buy;19,64624044;0,31174924;1535896348891;0;0;0,00000000

2500081198452023;doge_rur;sell;19,63861370;0,31440850;1535896486676;1535896526466;1;19,63861370;
1500081198453375;doge_rur;buy;19,63861370;0,31300001;1535896566682;0;0;0,00000000

2500081198455838;doge_rur;sell;19,57935820;0,31673163;1535896711900;1535896741723;2;4,08060981;
2500081198456377;doge_rur;sell;15,48787540;0,31815690;1535896748173;1535896806513;1;15,48787540;
1500081198457595;doge_rur;buy;19,56848521;0,31562326;1535896821959;0;0;0,00000000

2500081198459503;doge_rur;sell;19,57236556;0,31656156;1535896936815;1535897006611;1;19,57236556;
1500081198460700;doge_rur;buy;19,57236556;0,31529658;1535897011848;1535897041606;1;19,57236556;

2500081198466937;doge_rur;sell;19,75063681;0,30768461;1535897380609;1535897419065;1;19,75063681;
1500081198467606;doge_rur;buy;19,75063681;0,30645510;1535897424290;1535897474111;2;15,58644426;
2500081198473178;doge_rur;sell;19,75063681;0,31091208;1535897774507;1535897869250;1;19,75063681;
2500081198475253;doge_rur;sell;19,75063681;0,31402120;1535897909510;0;0;0,00000000;
1500081198479282;doge_rur;buy;23,91482936;0,30911073;1535898168979;1535898259251;1;23,91482936;

2500081198481307;doge_rur;sell;19,60574753;0,31231119;1535898294117;1535898375074;1;19,60574753;
1500081198482619;doge_rur;buy;19,60574753;0,31106319;1535898375512;1535898435221;1;19,60574753;
2500081198483351;doge_rur;sell;19,60574753;0,31703118;1535898420431;0;0;0,00000000;

2500081198483657;doge_rur;sell;19,48410363;0,31703118;1535898440637;1535898524468;1;19,48410363;
1500081198485023;doge_rur;buy;19,48410363;0,31576432;1535898529672;1535898589853;1;19,48410363;
2500081198485729;doge_rur;sell;19,48410363;0,32020149;1535898574693;0;0;0,00000000;

2500081198489754;doge_rur;sell;19,65018886;0,30999999;1535898836154;1535898955101;1;19,65018886;
1500081198491555;doge_rur;buy;19,65018886;0,30876123;1535898960311;1535899019201;1;19,65018886;
2500081198492210;doge_rur;sell;19,65018886;0,31309999;1535899004446;0;0;0,00000000;

2500081198492521;doge_rur;sell;19,61651742;0,30999998;1535899024412;1535899049187;1;19,61651742;
1500081198493562;doge_rur;buy;19,61651742;0,30592594;1535899089520;1535899119233;1;19,61651742;
2500081198493746;doge_rur;sell;19,61651742;0,31309998;1535899104451;0;0;0,00000000;

2500081198494033;doge_rur;sell;19,65018903;0,30999998;1535899127033;1535899213786;1;19,65018903;
1500081198498875;doge_rur;buy;19,65018903;0,30865136;1535899514343;1535899569099;1;19,65018903;
2500081198499719;doge_rur;sell;19,65018903;0,31388022;1535899554309;0;0;0,00000000;

2500081198503165;doge_rur;sell;19,68947017;0,30852231;1535899774450;1535899879937;1;19,68947017;
1500081198504882;doge_rur;buy;19,69138079;0,30315058;1535899885461;1535899934996;1;0,00000000;
2500081198505407;doge_rur;sell;19,68947017;0,31331974;1535899925455;1535899970291;1;19,68947017;
2500081198507202;doge_rur;sell;19,68947017;0,31775000;1535900037689;1535900093778;1;19,68947017;
2500081198510096;doge_rur;sell;19,68947017;0,32654191;1535900202765;1535900297651;1;19,68947017;
1500081198511961;doge_rur;buy;78,75788068;0,31053971;1535900314059;0;0;0,00000000

2500081198514379;doge_rur;sell;19,01405037;0,32801134;1535900458597;1535900530472;1;19,01405037;
1500081198515723;doge_rur;buy;19,01405037;0,32670061;1535900535710;1535900726102;1;19,01405037;
2500081198518442;doge_rur;sell;19,01405037;0,33395998;1535900680925;0;0;0,00000000;

2500081198520591;doge_rur;sell;18,51827655;0,34119999;1535900785958;1535900825967;1;18,51827655;
1500081198521463;doge_rur;buy;18,51827655;0,33983655;1535900831005;1535900936011;1;18,51827655;
2500081198523347;doge_rur;sell;18,51827655;0,34499999;1535900921250;0;0;0,00000000;

2500081198524602;doge_rur;sell;18,55010112;0,31388029;1535900992442;1535901021085;1;18,55010112;
2500081198527029;doge_rur;sell;18,55010112;0,33073949;1535901121330;1535901161131;1;18,55010112;
1500081198527934;doge_rur;buy;37,10020224;0,32102194;1535901177638;0;0;0,00000000

2500081198531494;doge_rur;sell;18,73757035;0,33469999;1535901391545;1535901431353;1;18,73757035;
1500081198532268;doge_rur;buy;18,73757035;0,33336253;1535901436570;1535901526473;1;18,73757035;
2500081198533682;doge_rur;sell;18,73757035;0,33999999;1535901511952;0;0;0,00000000;

2500081198534042;doge_rur;sell;18,58658301;0,33999999;1535901531743;1535901576469;1;18,58658301;
1500081198534958;doge_rur;buy;18,58658301;0,33864135;1535901581710;1535901641468;1;18,58658301;
2500081198535753;doge_rur;sell;18,58658301;0,34339999;1535901626708;0;0;0,00000000;

2500081198536101;doge_rur;sell;18,55682208;0,33999996;1535901646709;1535901691805;1;18,55682208;
1500081198536997;doge_rur;buy;18,55682208;0,33864132;1535901697191;1535901766575;2;11,41219223;
1500081198538380;doge_rur;buy;7,14462985;0,33323399;1535901771805;1535901916624;1;7,14462985;
2500081198540608;doge_rur;sell;18,55682208;0,34385515;1535901901885;0;0;0,00000000;

2500081198540990;doge_rur;sell;18,53077670;0,34196999;1535901922177;1535902031686;1;18,53077670;
1500081198543186;doge_rur;buy;18,53077670;0,34060348;1535902037491;1535902101295;1;18,53077670;
2500081198544196;doge_rur;sell;18,53077670;0,34774999;1535902086443;0;0;0,00000000;

2500081198544618;doge_rur;sell;18,46248926;0,34774999;1535902106699;1535902146247;1;18,46248926;
1500081198545543;doge_rur;buy;18,46248926;0,34636038;1535902151497;1535902206287;1;18,46248926;
2500081198546422;doge_rur;sell;18,46248926;0,35122749;1535902191574;0;0;0,00000000;

2500081198546794;doge_rur;sell;18,27071112;0,34999992;1535902211481;1535902281286;1;18,27071112;
1500081198548161;doge_rur;buy;18,27071112;0,34860132;1535902286526;1535902341332;1;18,27071112;
2500081198548973;doge_rur;sell;18,27071112;0,35349992;1535902326543;0;0;0,00000000;

2500081198551115;doge_rur;sell;18,28626331;0,34478068;1535902436632;1535902494196;1;18,28626331;
1500081198553719;doge_rur;buy;18,28626331;0,34249743;1535902574553;1535902799485;1;18,28626331;
2500081198557755;doge_rur;sell;18,28626331;0,34822849;1535902784798;0;0;0,00000000;

2500081198558153;doge_rur;sell;18,45942448;0,34477993;1535902804715;1535902866593;1;18,45942448;
2500081198560785;doge_rur;sell;18,45942448;0,34891735;1535902954021;1535903026629;1;18,45942448;
1500081198561041;doge_rur;buy;18,45942448;0,34288174;1535902966840;1535903031633;1;18,45942448;
1500081198562288;doge_rur;buy;18,45942448;0,34804490;1535903036872;1535903118703;1;18,45942448;
2500081198563535;doge_rur;sell;18,45942448;0,35240652;1535903103958;0;0;0,00000000;

2500081198564920;doge_rur;sell;18,37692410;0,34602433;1535903179205;1535903213783;1;18,37692410;
1500081198565620;doge_rur;buy;18,37692410;0,34464162;1535903218981;1535903313840;1;18,37692410;
2500081198566366;doge_rur;sell;18,37692410;0,34948457;1535903264016;0;0;0,00000000;

2500081198568231;doge_rur;sell;18,52240477;0,34181371;1535903379454;1535903424170;1;18,52240477;
1500081198569021;doge_rur;buy;18,52240477;0,34044782;1535903429732;1535903504219;1;18,52240477;
2500081198569960;doge_rur;sell;18,52240477;0,34523185;1535903488607;0;0;0,00000000;

2500081198577996;doge_rur;sell;18,67414709;0,32889999;1535903996924;1535904041708;1;18,67414709;
2500081198579333;doge_rur;sell;18,67414709;0,33218899;1535904092297;1535904212007;1;18,67414709;
1500081198581303;doge_rur;buy;37,34829418;0,32501312;1535904227281;1535904297013;1;18,52478557;
2500081198583740;doge_rur;sell;18,67414709;0,33826461;1535904387743;1535904444316;1;18,67414709;

